id,pose_x,pose_y,pose_z,rot_x,rot_y,rot_z,rot_w,command,
0,3.71255,5.45429,0,0,0,0.999995,0.00310167,
1,3.65517,4.8734,0,0,0,-0.999366,0.0356112,
2,3.58552,4.0829,0,0,0,-0.999779,0.021012,
3,3.62938,4.56067,0,0,0,-0.999838,0.0179816,
4,3.60072,5.16401,0,0,0,0.999944,0.0105824,
5,3.05389,5.54448,0,0,0,-0.99773,0.0673386,
6,2.96447,5.22906,0,0,0,-0.997747,0.0670881,
7,3.00948,4.76769,0,0,0,-0.997747,0.0670881,
8,2.86557,4.3565,0,0,0,1,0.000583306,
9,2.72552,3.91802,0,0,0,-0.999956,0.00936763,
10,2.22713,3.99743,0,0,0,-0.999323,0.0367928,
11,2.42855,4.66977,0,0,0,-0.997257,0.074014,
12,2.34578,5.14906,0,0,0,-0.997145,0.0755124,
13,2.50101,5.62295,0,0,0,-0.997034,0.0769618,
14,1.96993,5.73063,0,0,0,-0.993673,0.112316,
15,1.90108,5.1656,0,0,0,-0.998604,0.0528283,
16,1.73692,4.59531,0,0,0,-0.999875,0.0158032,
17,1.58118,4.00299,0,0,0,-0.996646,0.0818313,
18,1.44374,5.69563,0,0,0,-0.998035,0.0626613,
19,1.32561,5.10442,0,0,0,-0.99867,0.0515493,
20,1.33768,4.45538,0,0,0,-0.998436,0.0559154,
21,1.26836,3.99751,0,0,0,-1,0.000459783,
